"","team_api_id","team_long_name","team_short_name","buildupattributes","chancecreationattributes","defenseattributes","goals"
"160",8593,"Ajax","AJA",117,143,176,647
"161",8464,"N.E.C.","NEC",150,156,141,310
"162",8526,"De Graafschap","GRA",NA,150,136,130
"163",9908,"FC Utrecht","UTR",143,147,159,408
"164",8640,"PSV","PSV",153,125,128,652
"165",9791,"Heracles Almelo","HER",147,165,169,403
"166",10235,"Feyenoord","FEY",131,146,129,489
"167",8614,"Sparta Rotterdam","SPA",NA,140,90,76
"168",10217,"ADO Den Haag","HAA",162,145,142,366
"169",10228,"SC Heerenveen","HEE",150,152,138,470
"170",10229,"AZ","ALK",154,173,166,492
"171",9761,"NAC Breda","NAC",153,128,115,294
"172",10219,"RKC Waalwijk","RKC",142,133,99,153
"173",9839,"VVV-Venlo","VEN",NA,164,120,152
"174",10218,"Excelsior","EXC",163,136,106,154
"175",6413,"PEC Zwolle","ZWO",136,165,181,204
"176",7788,"SC Cambuur","CAM",136,134,138,119
"177",6433,"Go Ahead Eagles","GAE",160,131,141,74
"178",6631,"FC Dordrecht","DOR",134,176,164,24
"179",10265,"Wisła Kraków","WIS",119,101,157,332
"180",8031,"Polonia Bytom","POB",NA,122,162,88
"181",8020,"Polonia Bytom","GOR",NA,122,162,245
"182",1601,"Ruch Chorzów","CHO",133,176,136,280
"183",8673,"Legia Warszawa","LEG",137,167,168,409
"184",2183,"P. Warszawa","PWA",NA,131,139,184
"185",8025,"Śląsk Wrocław","SLA",140,157,139,318
"186",8030,"Lechia Gdańsk","LGD",162,183,149,279
"187",8244,"Widzew Łódź","LOD",190,184,139,50
"188",8242,"Odra Wodzisław","ODR",NA,155,205,50
"189",2182,"Lech Poznań","POZ",147,196,153,372
"190",8569,"GKS Bełchatów","BEL",143,139,132,190
"191",8322,"Arka Gdynia","ARK",NA,147,140,77
"192",1957,"Jagiellonia Białystok","BIA",158,152,162,287
"193",8028,"Piast Gliwice","PIG",183,169,129,204
"194",2186,"Cracovia","CKR",125,165,157,235
"195",8245,"Korona Kielce","KKI",178,153,135,237
"196",8021,"Zagłębie Lubin","ZAG",133,149,148,207
"197",8024,"Widzew Łódź","WID",190,184,139,122
"198",8033,"Podbeskidzie Bielsko-Biała","POD",189,166,102,169
"199",8023,"Pogoń Szczecin","POG",119,144,158,152
"200",8027,"Zawisza Bydgoszcz","ZAW",145,147,143,75
"201",8019,"Górnik Łęczna","LEC",140,139,149,61
"202",9773,"FC Porto","POR",173,190,178,541
"203",9807,"CF Os Belenenses","BEL",156,128,135,148
"204",9768,"Sporting CP","SCP",178,147,174,411
"205",7844,"Vitória Guimarães","GUI",131,173,141,300
"206",10238,"Vitória Setúbal","SET",149,158,132,238
"207",6403,"FC Paços de Ferreira","FER",142,169,139,292
"208",10264,"SC Braga","BRA",145,166,120,398
"209",10215,"Académica de Coimbra","ACA",150,166,138,240
"210",7841,"Rio Ave FC","RA",157,177,153,248
"211",9772,"SL Benfica","BEN",177,185,171,568
"212",6421,"Leixões SC","LEI",NA,165,90,55
"213",10214,"CD Nacional","NAC",167,150,141,332
"214",9809,"Naval 1° de Maio","NAV",NA,135,121,71
"215",10212,"CS Marítimo","MAR",176,186,133,316
"216",9771,"União de Leiria, SAD","ULE",NA,148,154,85
"217",2033,"S.C. Olhanense","OLH",147,134,105,138
"218",10211,"SC Beira Mar","B-M",NA,165,150,93
"219",9764,"Gil Vicente FC","GV",176,147,132,110
"220",8348,"Moreirense FC","MOR",139,144,138,101
"221",7842,"Estoril Praia","EST",167,139,150,167
"222",158085,"FC Arouca","ARO",170,160,113,101
"223",6547,"FC Penafiel","PEN",147,146,121,29
"224",8613,"Boavista FC","BOA",153,128,148,51
"225",8596,"Falkirk","FAL",NA,200,200,68
"226",8548,"Rangers","RAN",153,153,151,324
"227",9860,"Heart of Midlothian","HEA",168,176,158,317
"228",9927,"Motherwell","MOT",165,116,132,403
"229",8597,"Kilmarnock","KIL",158,158,144,346
"230",10251,"Hibernian","HIB",148,139,124,259
"231",8485,"Aberdeen","ABE",176,186,157,365
"232",8066,"Inverness Caledonian Thistle","INV",127,174,139,345
"233",9925,"Celtic","CEL",156,164,169,695
"234",9800,"St. Mirren","MIR",124,164,166,257
"235",8429,"Hamilton Academical FC","HAM",143,197,155,185
"236",9938,"Dundee United","DUU",171,149,143,438
"237",8467,"St. Johnstone FC","JOH",162,136,140,308
"238",8457,"Dunfermline Athletic","DUN",NA,168,148,40
"239",8284,"Dundee FC","DUF",142,158,146,127
"240",8649,"Ross County FC","ROS",153,153,123,192
"241",8426,"Partick Thistle F.C.","PAR",143,160,141,135
"242",10267,"Valencia CF","VAL",116,146,147,484
"243",8661,"RCD Mallorca","MAL",172,163,156,238
"244",8371,"CA Osasuna","OSA",143,168,168,232
"245",10205,"Villarreal CF","VIL",126,143,139,364
"246",9783,"RC Deportivo de La Coruña","COR",155,145,154,241
"247",8633,"Real Madrid CF","REA",153,165,175,843
"248",8388,"CD Numancia","NUM",137,152,158,38
"249",8634,"FC Barcelona","BAR",122,141,191,849
"250",8696,"Racing Santander","SAN",147,159,151,160
"251",8302,"Sevilla FC","SEV",159,165,149,478
"252",9869,"Real Sporting de Gijón","SPG",153,159,140,200
"253",8305,"Getafe CF","GET",113,143,134,345
"254",8603,"Real Betis Balompié","BET",145,155,165,225
"255",8479,"RC Recreativo","HUE",118,109,143,34
"256",8558,"RCD Espanyol","ESP",146,152,122,338
"257",10281,"Real Valladolid","VAL",148,147,134,170
"258",8315,"Athletic Club de Bilbao","BIL",131,146,156,415
"259",9865,"UD Almería","ALM",152,151,135,202
"260",9906,"Atlético Madrid","AMA",157,172,143,524
"261",9864,"Málaga CF","MAL",129,131,136,377
"262",9868,"Xerez Club Deportivo","XER",NA,138,153,38
"263",8394,"Real Zaragoza","ZAR",154,165,140,159
"264",9867,"CD Tenerife","TEN",163,161,171,40
"265",10278,"Hércules Club de Fútbol","HER",154,178,160,36
"266",8581,"Levante UD","LEV",163,178,111,241
"267",8560,"Real Sociedad","SOC",162,166,155,316
"268",7878,"Granada CF","GRA",166,175,155,179
"269",8370,"Rayo Vallecano","RAY",125,135,169,247
"270",9910,"RC Celta de Vigo","CEL",152,139,169,184
"271",10268,"Elche CF","ELC",151,164,158,65
"272",8372,"SD Eibar","EIB",165,166,142,83
"273",7869,"Córdoba CF","COR",141,171,129,22
"274",8306,"UD Las Palmas","LAS",147,148,149,45
"275",9956,"Grasshopper Club Zürich","GRA",164,152,126,429
"276",6493,"AC Bellinzona","BEL",NA,148,138,128
"277",10192,"BSC Young Boys","YB",172,151,128,529
"278",9931,"FC Basel","BAS",170,186,158,619
"279",9930,"FC Aarau","AAR",142,181,145,153
"280",10179,"FC Sion","SIO",155,165,146,371
"281",10199,"FC Luzern","LUZ",165,160,151,421
"282",9824,"FC Vaduz","VAD",141,137,133,100
"283",7955,"Neuchâtel Xamax","XAM",NA,121,116,171
"284",10243,"FC Zürich","ZUR",157,151,146,468
"285",10190,"FC St. Gallen","GAL",146,115,128,276
"286",10191,"FC Thun","THU",152,166,145,279
"287",9777,"Servette FC","SER",NA,164,143,77
"288",7730,"FC Lausanne-Sports","LAU",141,164,145,99
