"","player_name","player_api_id","overall_rating","gk_rating","numofappearences","numofleagues"
"134","Adama Francois",164360,67,42,43,1
"135","Adama Soumaoro",357881,68,54,30,1
"136","Adama Traore",181211,74,55,39,2
"137","Adama Traore",533212,68,50,14,1
"138","Adamo Coulibaly",103866,69,42,21,1
"139","Adel Taarabt",47394,75,24,68,2
"140","Adem Ljajic",155738,79,45,80,1
"141","Aderlan Santos",361710,80,56,83,2
"142","Aderlan",568920,67,53,33,1
"143","Adil Auassar",45816,66,53,99,1
"144","Adil Chihi",37249,68,42,29,1
"145","Adil Hermach",40012,71,56,67,1
"146","Adil Rami",77741,79,21,225,3
"147","Adil Ramzi",38612,65,47,32,1
"148","Adilson",164115,66,60,7,1
"149","Adis Jahovic",276701,69,56,4,1
"150","Adlene Guedioura",131409,70,59,38,2
"151","Admir Aganovic",116788,61,55,7,2
"152","Admir Mehmedi",132844,77,66,85,2
"153","Adnan Alisic",45815,61,45,4,1
"154","Adnan Custovic",39875,66,58,39,1
"155","Adnan Januzaj",449241,75,55,24,1
"156","Adnan Mravac",43049,61,45,43,1
"157","Adnane Tighadouini",261599,74,48,28,2
"158","Adrian Basta",154950,65,62,43,1
"159","Adrian Blad",182107,62,58,20,1
"160","Adrian Chomiuk",121643,52,46,17,1
"161","Adrian Colunga",102572,70,43,68,1
"162","Adrian Cristea",43348,65,47,2,1
"163","Adrian Daniel Calello",113604,61,56,8,1
"164","Adrian Embarba",482331,73,50,28,1
"165","Adrian Gonzalez",40501,73,46,131,1
"166","Adrian Gunino",178574,68,48,50,2
"167","Adrian Klepczynski",78537,61,53,105,1
"168","Adrian Lopez",45744,77,60,103,2
"169","Adrian Mariappa",23358,71,52,63,1
"170","Adrian Marin",571685,72,53,14,1
"171","Adrian Mrowiec",105526,62,52,84,2
"172","Adrian Mutu",39311,75,50,71,2
"173","Adrian Nikci",112976,66,45,53,2
"174","Adrian Paluchowski",116881,61,117,5,1
"175","Adrian Rakowski",239253,63,41,36,1
"176","Adrian Ramos",50345,78,56,63,1
"177","Adrian Ricardo Centurion",323385,72,39,5,1
"178","Adrian Ricchiuti",42431,71,44,49,1
"179","Adrian Sardinero Corpa",183482,64,59,4,1
"180","Adrian Stoian",168047,70,45,9,1
"181","Adrian Winter",114790,66,68,126,1
"182","Adrian",169756,78,387,121,2
"183","Adriano De Pierro",167648,59,55,16,1
"184","Adriano Facchini",280969,70,348,118,1
"185","Adriano Ferreira Pinto",39190,67,45,48,1
"186","Adriano Jose de Lara",172172,60,41,1,1
"187","Adriano Pereira da Silva",39199,67,56,62,1
"188","Adriano Russo",38122,67,50,9,1
"189","Adriano",121923,68,125,1,1
"190","Adriano",30690,73,56,11,1
"191","Adriano",33992,77,67,131,1
"192","Adriano",41109,67,58,13,1
"193","Adrien Goni",171737,63,51,1,1
"194","Adrien Hunou",447107,65,44,4,1
"195","Adrien Rabiot",352879,77,52,54,1
"196","Adrien Rawyler",557353,50,36,1,1
"197","Adrien Regattin",188413,77,54,66,1
"198","Adrien Silva",40930,80,46,146,1
"199","Adrien Thomasson",317062,73,60,50,1
